ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
AS/NZS 2007.2:2005,BAUMATIC,14,329,Single,China,True,,,,BKDWIN14,AS/NZS 2007.1:2005,3.0024,3.0,0.0,1.82,NORMAL,128.05,New Zealand,0.0,46596,Approved,13.7,Freestanding,False,,,,,Unavailable,http://www.applico.co.nz/,http://www.applico.co.nz
AS/NZS 2007.2:2005,TUSCANY,12,319,Single,China,True,,,,DWQP12-9242,AS/NZS 2007.1:2005,2.65,2.5,0.0,1.17,normal,124.0,New Zealand,0.0,37651,Approved,15.7,Freestanding,False,,,,,Unavailable,,
AS/NZS 2007.2:2005,POLO,12,320,Single,China,False,600.0,850.0,,DW6-S-ELITE,AS/NZS 2007.1:2005,2.5,2.5,0.843,1.32,normanl  61,124.0,New Zealand,1.32,35168,Approved,15.7,Freestanding,False,600.0,,,,Unavailable,,
AS/NZS 2007.2:2005,ASKO,14,265,Single,Sweden,True,570.0,860.0,,D5233B,AS/NZS 2007.1:2005,3.61,3.5,0.0,1.0,NORMAL ECO TEMP. ECO DRY,100.0,New Zealand,0.1,51119,Approved,13.8,Built-in,False,597.0,,,,Unavailable,,http://www.asko.org.nz
AS/NZS 2007.2:2005,ASKO,14,265,Single,Sweden,True,570.0,860.0,,D5142,AS/NZS 2007.1:2005,3.61,3.5,0.0,1.0,NORMAL ECO TEMP. ECO DRY,100.0,New Zealand,0.1,51119,Approved,13.8,Built-in,False,597.0,,,,Unavailable,,http://www.asko.org.nz
AS/NZS 2007.2:2005,TRIESTE,12,340,Single,China,False,580.0,850.0,,Trieste DL06-07,AS/NZS 2007.1:2005,2.47,2.0,0.0,0.1,Normal,112.0,New Zealand,0.1,35885,Approved,15.6,Freestanding,False,600.0,,,,Unavailable,,
AS/NZS 2007.2:2005,CLASSIQUE,12,336,Single,China,False,585.0,850.0,,CLDESS,AS/NZS 2007.1:2005,2.511,2.5,0.000177,2.388295,Economic,137.0,New Zealand,0.29352,33618,Approved,15.5,Freestanding,False,595.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2007.2:2005,CLASSIQUE,12,336,Single,China,False,585.0,850.0,,CLDEW,AS/NZS 2007.1:2005,2.511,2.5,0.000177,2.388295,Economic,137.0,New Zealand,0.29352,33618,Approved,15.5,Freestanding,False,595.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2007.2:2005,BAUMATIC,12,379,Single,China,True,550.0,820.0,,BKD14IN,AS/NZS 2007.1:2005,2.1,2.0,0.03,1.23,Normal,140.0,New Zealand,1.25,33547,Approved,15.7,Built-in,False,595.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2007.2:2005,AWARD,6,191,Single,China,True,500.0,440.0,,D3203W,AS/NZS 2007.1:2005,2.1514,2.0,0.47697,2.25,NORMAL,107.0,New Zealand,1.89,49251,Approved,8.7,Built-in,False,550.0,,,,Unavailable,,http://www.awardappliances.co.nz
AS/NZS 2007.2:2005,AWARD,6,191,Single,China,True,500.0,440.0,,D3203DS,AS/NZS 2007.1:2005,2.1514,2.0,0.47697,2.25,NORMAL,107.0,New Zealand,1.89,49251,Approved,8.7,Built-in,False,550.0,,,,Unavailable,,http://www.awardappliances.co.nz
AS/NZS 2007.2:2005,CLASSIQUE,12,319,Single,China,True,560.0,850.0,,CLD12SS,AS/NZS 2007.1:2005,2.65,2.5,0.842,0.842,NORMAL 2,124.0,New Zealand,0.842,31168,Approved,15.6,Freestanding,False,595.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2007.2:2005,CLASSIQUE,12,319,Single,China,True,560.0,850.0,,CLD12W,AS/NZS 2007.1:2005,2.65,2.5,0.842,0.842,NORMAL 2,124.0,New Zealand,0.842,31168,Approved,15.6,Freestanding,False,595.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2007.2:2005,TRIESTE,8,294,Dual,China,False,,,,TRD-IWQP8-9347E,AS/NZS 2007.1:2005,1.7583,1.5,0.0,1.916636,Normal,120.0,New Zealand,0.288119,47547,Approved,13.033,Built-in,False,,,,,Unavailable,,
AS/NZS 2007.2:2005,TRIESTE,8,294,Dual,China,False,,,,WQP8-9347E,AS/NZS 2007.1:2005,1.7583,1.5,0.0,1.916636,Normal,120.0,New Zealand,0.288119,47547,Approved,13.033,Built-in,False,,,,,Unavailable,,
