Record ID,Status,Brand Name,Model Number,Selling Countries,Manufacturing Countries,Screen Size,Screen Technology,Comparative Energy Consumption,Active Standby Power,Star Rating Index,Star Rating,Product Website,Representative Brand URL
78961,Approved,LG,17MB15TO,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",43.271,LCD,60.0,0.165,5.12763310672,5.0,,
80139,Approved,SAMSUNG ELECTRONICS,U28D590D,"Australia,Fiji,New Zealand","""Korea, Republic of""",70.846,LCD (LED),136.0,0.24,3.95881038913,3.5,,http://www.samsung.com.au
80138,Approved,SAMSUNG ELECTRONICS,S24D590PL,"Australia,Fiji,New Zealand","""Korea, Republic of""",59.774,LCD (LED),79.0,0.13,5.33815835761,5.0,,http://www.samsung.com.au
78637,Approved,LG,22M45DA,"Australia,New Zealand","""Korea, Republic of"",Indonesia,China",54.683,LCD (LED),90.0,0.21,4.22308791647,4.0,http://www.lge.com.au/,http://www.lge.com.au/
79058,Approved,BenQ,VW2235E,"Australia,New Zealand",China,54.683,LCD (LED),92.0,0.18,4.12459120174,4.0,http://www.benq.com.au/,http://benqshop.com.au/
79058,Approved,BenQ, VW2235HE,"Australia,New Zealand",China,54.683,LCD (LED),92.0,0.18,4.12459120174,4.0,http://www.benq.com.au/,http://benqshop.com.au/
79058,Approved,BenQ,VW2235H,"Australia,New Zealand",China,54.683,LCD (LED),92.0,0.18,4.12459120174,4.0,http://www.benq.com.au/,http://benqshop.com.au/
79058,Approved,BenQ,VW2235,"Australia,New Zealand",China,54.683,LCD (LED),92.0,0.18,4.12459120174,4.0,http://www.benq.com.au/,http://benqshop.com.au/
80459,Approved,LG,27MP35HA,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",68.599,LCD,110.0,0.42,4.73638525871,4.5,,
79293,Approved,LG,24MP56HA,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",60.468,LCD,110.0,0.22,3.92658082311,3.5,,
79286,Approved,LG,24MP55VA,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",60.468,LCD,100.0,0.21,4.35370578031,4.0,,
79263,Approved,LG,22MB35PUH,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",54.688,LCD,90.0,0.216,4.22354681762,4.0,,
79188,Approved,hp,S240ml,"Australia,Fiji,New Zealand",China,60.47,LCD (LED),86.0,0.3,5.02942388347,5.0,,http://www.hp.com/
79188,Approved,hp,HSTND-3991-L,"Australia,Fiji,New Zealand",China,60.47,LCD (LED),86.0,0.3,5.02942388347,5.0,,http://www.hp.com/
75720,Approved,ASUS,VX239 series,"Australia,Fiji,New Zealand",China,58.421,LCD (LED),91.0,0.3948,4.56515183833,4.5,http://www.asus.com/,
80418,Approved,BenQ,GW2265HM ,"Australia,Fiji,New Zealand",China,55.592,LCD (LED),82.0,0.23,4.83087629169,4.5,,
80418,Approved,BenQ,GW2265M,"Australia,Fiji,New Zealand",China,55.592,LCD (LED),82.0,0.23,4.83087629169,4.5,,
80418,Approved,BenQ,GW2265,"Australia,Fiji,New Zealand",China,55.592,LCD (LED),82.0,0.23,4.83087629169,4.5,,
79472,Approved,PHILIPS,288P6L,"Australia,Fiji,New Zealand",China,70.854,LCD (LED),244.0,0.41,1.34174524703,1.0,,
75713,Approved,ASUS,VX228 series,"Australia,Fiji,New Zealand",China,54.687,LCD (LED),85.0,0.3054,4.47958970865,4.0,http://www.asus.com/,
80311,Approved,AOC,236LM00023,"Australia,New Zealand",China,59.809,LCD (LED),103.0,0.28,4.15327930934,4.0,,http://www.aocmonitorap.com/
78970,Approved,LG,23MP55HA,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",58.422,LCD,100.0,0.18,4.14243206236,4.0,,
79679,Approved,SAMSUNG ELECTRONICS,S24D300FL,"Australia,Fiji,New Zealand","""Korea, Republic of""",59.774,LCD (LED),76.0,0.24,5.51165435135,5.5,,http://www.samsung.com.au
79485,Approved,Hewlett-Packard Company,P200,"Australia,Fiji,New Zealand",China,49.402,LCD,60.0,0.3,5.42548941259,5.0,,
78638,Approved,LG,22MB65PE,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",56.3,LCD (LED),90.0,0.36,4.54704148181,4.5,http://www.lge.com.au/,http://www.lge.com.au/
78983,Approved,LG,25UM65,"Australia,New Zealand","""Korea, Republic of"",Indonesia,China",63.515,LCD (LED),100.0,0.48,4.11433881776,4.0,http://www.lge.com.au/,http://www.lge.com.au/
