Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL
49180,LOEWE,Loewe CONNECT MEDIA  37 FHD 100 DR+ 68435W32,"Australia,New Zealand",Germany,94.0,3901.0,LCD,1.0,1.0,38.0,138.0,2.5,2.896,550.0,Approved,2015-03-07,,Single product class,Unavailable,1.33393281509,,http://www.loewe-int.de/en/
49179,LOEWE,Loewe ART 47 SL FHD 100 DR+ 68403T49,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,31.0,213.0,2.5,2.963,805.0,Approved,2015-03-07,,Single product class,Unavailable,1.40132530723,,http://www.loewe-int.de/en/
49179,LOEWE,Loewe ART 47 SL FHD 100 DR+ 68403U49,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,31.0,213.0,2.5,2.963,805.0,Approved,2015-03-07,,Single product class,Unavailable,1.40132530723,,http://www.loewe-int.de/en/
49179,LOEWE,Loewe ART 47 SL FHD 100 DR+ 68403W49,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,31.0,213.0,2.5,2.963,805.0,Approved,2015-03-07,,Single product class,Unavailable,1.40132530723,,http://www.loewe-int.de/en/
49177,LOEWE,Loewe ART 47 SL FHD 100 DR+ 68403T39,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,37.0,198.0,3.0,3.281,750.0,Approved,2015-03-07,,Single product class,Unavailable,1.71847124522,,http://www.loewe-int.de/en/
49177,LOEWE,Loewe ART 47 SL FHD 100 DR+ 68403U39,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,37.0,198.0,3.0,3.281,750.0,Approved,2015-03-07,,Single product class,Unavailable,1.71847124522,,http://www.loewe-int.de/en/
49177,LOEWE,Loewe ART 47 SL FHD 100 DR+ 68403W39,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,37.0,198.0,3.0,3.281,750.0,Approved,2015-03-07,,Single product class,Unavailable,1.71847124522,,http://www.loewe-int.de/en/
49176,LOEWE,Loewe ART 47 SL FHD 100  68403T80,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,31.0,208.0,3.0,3.076,785.0,Approved,2015-03-07,,Single product class,Unavailable,1.51407138251,,http://www.loewe-int.de/en/
49176,LOEWE,Loewe ART 47 SL FHD 100  68403U80,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,31.0,208.0,3.0,3.076,785.0,Approved,2015-03-07,,Single product class,Unavailable,1.51407138251,,http://www.loewe-int.de/en/
49176,LOEWE,Loewe ART 47 SL FHD 100  68403W80,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,31.0,208.0,3.0,3.076,785.0,Approved,2015-03-07,,Single product class,Unavailable,1.51407138251,,http://www.loewe-int.de/en/
